tanggal,kasus
06/02/2021,80697
13/02/2021,63693
20/02/2021,60650
27/02/2021,57802
06/03/2021,44762
13/03/2021,40905
20/03/2021,41047
27/03/2021,36214
03/04/2021,35522
10/04/2021,35344
17/04/2021,36895
24/04/2021,37029
01/05/2021,36088
08/05/2021,36882
15/05/2021,26908
22/05/2021,33270
29/05/2021,39986
05/06/2021,40280
12/06/2021,51284
19/06/2021,74682
26/06/2021,117790
03/07/2021,162889
10/07/2021,234155
17/07/2021,341749
24/07/2021,295071
31/07/2021,281832
07/08/2021,229958
14/08/2021,193925
21/08/2021,133507
28/08/2021,99356
04/09/2021,57213
11/09/2021,40115
18/09/2021,24797
25/09/2021,17724
02/10/2021,11889
09/10/2021,8896
16/10/2021,6973
23/10/2021,5385
30/10/2021,4439
06/11/2021,3886
13/11/2021,2795
20/11/2021,2582
27/11/2021,2574
04/12/2021,1817
11/12/2021,1491
18/12/2021,1400
25/12/2021,1287
01/01/2022,1327
08/01/2022,2672
15/01/2022,5128
22/01/2022,12659
29/01/2022,47310
05/02/2022,149660
12/02/2022,282829
19/02/2022,385769
26/02/2022,355397
05/03/2022,219440
12/03/2022,155052
19/03/2022,77651
26/03/2022,39315
02/04/2022,22172
09/04/2022,13588
16/04/2022,7630
23/04/2022,4502
30/04/2022,3028
07/05/2022,1408
14/05/2022,2315
21/05/2022,1844
28/05/2022,1810
04/06/2022,2239
11/06/2022,3525
18/06/2022,6971
25/06/2022,11817
02/07/2022,13578
09/07/2022,16426
16/07/2022,22684
23/07/2022,32858
30/07/2022,38622
