Waktu,Total
31/01/2010,1176478
28/02/2010,1100169
31/03/2010,1225671
30/04/2010,1206909
31/05/2010,1292549
30/06/2010,1298975
31/07/2010,1450214
31/08/2010,1152985
30/09/2010,1309501
31/10/2010,1393142
30/11/2010,1312017
31/12/2010,1550547
31/01/2011,1354230
28/02/2011,1259187
31/03/2011,1402161
30/04/2011,1373346
31/05/2011,1424388
30/06/2011,1645041
31/07/2011,1698808
31/08/2011,1279539
30/09/2011,1535120
31/10/2011,1503666
30/11/2011,1578533
31/12/2011,1651090
31/01/2012,1561684
29/02/2012,1451736
31/03/2012,1645065
30/04/2012,1582880
31/05/2012,1668845
30/06/2012,1685196
31/07/2012,1671053
31/08/2012,1573873
30/09/2012,1680588
31/10/2012,1686800
30/11/2012,1720032
31/12/2012,1822128
31/01/2013,1534744
28/02/2013,1418207
31/03/2013,1681186
30/04/2013,1596941
31/05/2013,1735299
30/06/2013,1854812
31/07/2013,1606661
31/08/2013,1856324
30/09/2013,1726190
31/10/2013,1816513
30/11/2013,1774351
31/12/2013,2058080
31/01/2014,1712529
28/02/2014,1306951
31/03/2014,1658568
30/04/2014,1504102
31/05/2014,1860120
30/06/2014,1793386
31/07/2014,1575907
31/08/2014,1749146
30/09/2014,1644321
31/10/2014,1786361
30/11/2014,1724281
31/12/2014,1950020
31/01/2015,1478308
28/02/2015,1332181
31/03/2015,1490037
30/04/2015,1492524
31/05/2015,1655718
30/06/2015,1556379
31/07/2015,1798426
31/08/2015,1759884
30/09/2015,1467594
31/10/2015,1603937
30/11/2015,1620867
31/12/2015,1875545
31/01/2016,1746840
29/02/2016,1514119
31/03/2016,1669840
30/04/2016,1654878
31/05/2016,1863374
30/06/2016,1542497
31/07/2016,1940711
31/08/2016,1730919
30/09/2016,1639365
31/10/2016,1666021
30/11/2016,1643796
31/12/2016,1963622
31/01/2017,1704606
28/02/2017,1479097
31/03/2017,1756665
30/04/2017,1802960
31/05/2017,1805970
30/06/2017,1788098
31/07/2017,2109734
31/08/2017,1891326
30/09/2017,1787086
31/10/2017,1841654
30/11/2017,1855288
31/12/2017,2108796
31/01/2018,1751059
28/02/2018,1698478
31/03/2018,1931117
30/04/2018,1949487
31/05/2018,1768565
30/06/2018,1998533
31/07/2018,2132360
31/08/2018,1932013
30/09/2018,1852076
31/10/2018,1916452
30/11/2018,1796523
31/12/2018,1883165
31/01/2019,1569630
28/02/2019,1427000
31/03/2019,1538314
30/04/2019,1403186
31/05/2019,1276006
30/06/2019,1568669
31/07/2019,1749777
31/08/2019,1714643
30/09/2019,1630312
31/10/2019,1738571
30/11/2019,1778862
31/12/2019,1870092
31/01/2020,1600594
29/02/2020,1551967
31/03/2020,1211697
30/04/2020,191002
31/05/2020,27500
30/06/2020,174352
31/07/2020,427731
31/08/2020,574597
30/09/2020,499930
31/10/2020,600861
30/11/2020,828148
31/12/2020,928922
31/01/2021,507262
28/02/2021,482132
31/03/2021,672107
30/04/2021,703135
31/05/2021,598615
