tanggal,suhu
2010-01,26.91290323
2010-02,27.29642857
2010-03,27.82580645
2010-04,28.55666667
2010-05,28.1
2010-06,27.39333333
2010-07,27.48709677
2010-08,27.50322581
2010-09,26.58333333
2010-10,26.87741935
2010-11,27.54666667
2010-12,27.28387097
2011-01,26.90645161
2011-02,26.75714286
2011-03,27.50322581
2011-04,27.69666667
2011-05,27.48064516
2011-06,27.62
2011-07,27.30645161
2011-08,27.45806452
2011-09,27.98
2011-10,28.64516129
2011-11,27.92666667
2011-12,27.99354839
2012-01,26.91612903
2012-02,27.25517241
2012-03,27.76129032
2012-04,27.48
2012-05,27.74193548
2012-06,27.62
2012-07,27.35483871
2012-08,27.42258065
2012-09,28.28
2012-10,28.53548387
2012-11,27.47666667
2012-12,27.57419355
2013-01,26.66774194
2013-02,27.46071429
2013-03,27.77741935
2013-04,27.90666667
2013-05,27.67419355
2013-06,27.86666667
2013-07,26.87096774
2013-08,27.71666667
2013-09,28.15
2013-10,28.2
2013-11,27.4
2013-12,27.1
